Symbol,TableName
SCI,SCI
SEQUENT,SEQUENT
SFL,SFL
SHARDACROP,SHARDACROP
SHILPAMED,SHILPAMED
SHOPERSTOP,SHOPERSTOP
SHREECEM,SHREECEM
SHRIRAMFIN,SRTRANSFIN
SHYAMMETL,SHYAMMETL
SIEMENS,SIEMENS
SIS,SIS
SJVN,SJVN
SKFINDIA,SKFINDIA
SOBHA,SOBHA
SOLARA,SOLARA
SOLARINDS,SOLARINDS
SONACOMS,SONACOMS
SONATSOFTW,SONATSOFTW
SOUTHBANK,SOUTHBANK
SPARC-BE,SPARC
SPLPETRO,SUPPETRO
SRF,SRF
STAR,STAR
STARCEMENT,STARCEMENT
STARHEALTH,STARHEALTH
STLTECH,STLTECH
SUDARSCHEM,SUDARSCHEM
SUMICHEM,SUMICHEM
SUNDARMFIN,SUNDARMFIN
SUNDRMFAST,SUNDRMFAST
SUNPHARMA,SUNPHARMA
SUNTECK,SUNTECK
SUNTV,SUNTV
SUPRAJIT,SUPRAJIT
SUPREMEIND,SUPREMEIND
SUVENPHAR,SUVENPHAR
SUZLON-BE,SUZLON
SWANENERGY,SWANENERGY
SWARAJENG,SWARAJENG
SWSOLAR,SWSOLAR
SYMPHONY,SYMPHONY
SYNGENE,SYNGENE
SYRMA,SYRMA
TANLA,TANLA
TASTYBITE,TASTYBITE
TATACHEM,TATACHEM
TATACOMM,TATACOMM
TATACONSUM,TATACONSUM
TATAELXSI,TATAELXSI
TATAINVEST-BE,TATAINVEST
TATAMOTORS,TATAMOTORS
TATAMTRDVR,TATAMTRDVR
TATAPOWER,TATAPOWER
TATASTEEL,TATASTEEL
TCI,TCI
TCIEXP,TCIEXP
TCNSBRANDS,TCNSBRANDS
TCS,TCS
TEAMLEASE,TEAMLEASE
TECHM,TECHM
TEJASNET,TEJASNET
THERMAX,THERMAX
THYROCARE,THYROCARE
TIINDIA,TIINDIA
TIMKEN,TIMKEN
TITAN,TITAN
TMB,TMB
TORNTPHARM,TORNTPHARM
TORNTPOWER,TORNTPOWER
TRENT,TRENT
TRIDENT,TRIDENT
TRITURBINE,TRITURBINE
TRIVENI,TRIVENI
TTKPRESTIG,TTKPRESTIG
TTML,TTML
TV18BRDCST-BE,TV18BRDCST
TVSMOTOR,TVSMOTOR
TVTODAY,TVTODAY
UBL,UBL
UCOBANK,UCOBANK
UFLEX,UFLEX
UJJIVAN,UJJIVAN
UJJIVANSFB,UJJIVANSFB
ULTRACEMCO,ULTRACEMCO
UNIONBANK,UNIONBANK
UNOMINDA,MINDAIND
UPL,UPL
USHAMART,USHAMART
UTIAMC,UTIAMC
VAIBHAVGBL,VAIBHAVGBL
VAKRANGEE,VAKRANGEE
VARROC,VARROC
VBL,VBL
VEDL,VEDL
VENKEYS,VENKEYS
VGUARD,VGUARD
VIJAYA,VIJAYA
VINATIORGA,VINATIORGA
VIPIND,VIPIND
VMART,VMART
VOLTAS,VOLTAS
VRLLOG,VRLLOG
VSTIND,VSTIND
VTL,VTL
WELCORP,WELCORP
WELSPUNLIV,WELSPUNIND
WESTLIFE,WESTLIFE
WHIRLPOOL,WHIRLPOOL
WIPRO,WIPRO
WOCKPHARMA-BE,WOCKPHARMA
YESBANK,YESBANK
ZEEL,ZEEL
ZENSARTECH,ZENSARTECH
ZFCVINDIA,WABCOINDIA
ZOMATO,ZOMATO
ZYDUSLIFE,CADILAHC
ZYDUSWELL,ZYDUSWELL
