date,currExpiry,nextExpiry
2021-04-23,BANKNIFTY21APR,BANKNIFTY21506
2021-04-26,BANKNIFTY21APR,BANKNIFTY21506
2021-04-27,BANKNIFTY21APR,BANKNIFTY21506
2021-04-28,BANKNIFTY21APR,BANKNIFTY21506
2021-04-29,BANKNIFTY21APR,BANKNIFTY21506
2021-04-30,BANKNIFTY21506,BANKNIFTY21512
2021-05-03,BANKNIFTY21506,BANKNIFTY21512
2021-05-04,BANKNIFTY21506,BANKNIFTY21512
2021-05-05,BANKNIFTY21506,BANKNIFTY21512
2021-05-06,BANKNIFTY21506,BANKNIFTY21512
2021-05-07,BANKNIFTY21512,BANKNIFTY21520
2021-05-10,BANKNIFTY21512,BANKNIFTY21520
2021-05-11,BANKNIFTY21512,BANKNIFTY21520
2021-05-12,BANKNIFTY21512,BANKNIFTY21520
2021-05-14,BANKNIFTY21520,BANKNIFTY21MAY
2021-05-17,BANKNIFTY21520,BANKNIFTY21MAY
2021-05-18,BANKNIFTY21520,BANKNIFTY21MAY
2021-05-19,BANKNIFTY21520,BANKNIFTY21MAY
2021-05-20,BANKNIFTY21520,BANKNIFTY21MAY
